NABIL BALANCED FUND-2,10.59,10.60,10.40,10.50,96300.00
Nabil Balanced Fund-3,8.91,9.20,8.79,9.20,11120.00
Nabil Bank Limited,934.90,947.00,927.00,928.00,43224.00
Nabil Equity Fund,11.00,11.22,10.78,11.10,136195.00
Narayani Development Bank Limited,382.00,392.00,381.00,383.00,5251.00
National Hydro Power Company Limited,269.00,273.50,260.00,261.10,62254.00
National Life Insurance Co. Ltd.,752.00,767.00,740.00,740.00,4580.00
National Microfinance Laghubitta Bittiya Sanstha Limited,2101.00,2139.00,2090.00,2095.00,1526.00
Naya Sarathi Laghubitta Bittiya Sanstha Limited,982.00,982.00,960.00,977.00,492.00
Neco Insurance Co. Ltd.,875.00,892.00,870.20,875.00,3145.00
Nepal Bank Limited,318.00,322.00,315.00,315.50,53053.00
Nepal Credit And Commercial Bank Limited,231.00,234.00,227.10,231.00,216227.00
Nepal Doorsanchar Company Limited,1049.00,1054.00,1020.00,1030.00,11410.00
Nepal Finance Ltd.,501.00,527.00,507.00,510.00,58933.00
Nepal Hydro Developers Ltd.,426.00,439.00,419.00,420.50,14156.00
Nepal Infrastructure Bank Limited,307.00,312.00,301.00,301.60,114023.00
Nepal Insurance Co. Ltd.,724.00,732.00,705.00,706.00,5775.00
Nepal Life Insurance Co. Ltd.,938.10,950.00,933.80,934.00,22681.00
Nepal Reinsurance Company Limited,999.00,1013.00,989.00,990.00,12673.00
Nepal SBI Bank Limited,335.00,339.00,330.00,335.00,5468.00
Nerude Laghubitta Bittiya Sanstha Limited,990.00,1009.00,985.00,985.00,2343.00
NESDO Sambridha Laghubitta Bittiya Sanstha Limited,2667.10,2710.00,2650.00,2655.00,10171.00
Ngadi Group Power Ltd.,585.00,603.00,585.00,590.00,60599.00
NIBL Pragati Fund,11.27,11.74,11.27,11.40,180879.00
NIBL Samriddhi Fund -2,9.00,8.82,8.80,8.80,5600.00
NIC Asia Balanced Fund,10.95,10.95,10.74,10.75,30850.00
NIC Asia Bank Ltd.,781.80,790.00,779.00,782.00,44865.00
NIC Asia Growth Fund,11.85,11.80,11.68,11.68,85700.00
NIC ASIA Laghubitta Bittiya Sanstha Limited,990.00,990.00,975.00,984.00,2490.00
NIC Asia Select Fund 30,8.70,8.70,8.55,8.63,3600.00
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,1091.00,1093.00,1073.00,1085.00,2542.00
NLG Insurance Company Ltd.,764.00,767.90,732.10,750.00,7362.00
NMB Microfinance Bittiya Sanstha Ltd.,866.00,876.00,850.00,860.00,1226.00
NMB 50,12.75,12.90,12.30,12.70,45750.00
NMB Bank Limited,294.20,295.00,292.00,293.00,25873.00
NMB Hybrid Fund L-1,11.99,12.22,11.92,11.96,119742.00
NRN Infrastructure and Development Limited,570.00,580.50,556.00,556.00,6789.00
Nyadi Hydropower Limited,395.00,402.90,387.10,393.30,8301.00
Oriental Hotels Limited,521.00,521.00,515.00,515.10,14342.00
Panchakanya Mai Hydropower Ltd,281.90,281.00,273.00,274.00,4425.00
Panchthar Power Compant Limited,350.00,363.90,335.20,337.00,18502.00
Pokhara Finance Ltd.,403.00,416.90,397.00,400.00,6560.00
Prabhu Bank Limited,268.00,273.30,264.00,264.00,51477.00
Prabhu Insurance Ltd.,664.00,677.00,655.40,671.00,676.00
Prabhu Life Insurance Limited,545.60,550.00,527.30,533.00,4423.00
Prabhu Select Fund,8.82,9.03,8.73,9.00,6600.00
Premier Insurance Company (Nepal) Limited,810.00,820.00,795.00,808.90,2878.00
Prime Commercial Bank Ltd.,297.50,303.40,289.50,296.00,65103.00
Prime Life Insurance Company Limited,655.00,662.90,643.10,655.00,3206.00
ProgressiveFinance Limited,308.00,311.00,294.20,297.00,6440.00
Prudential Insurance Co. Ltd.,541.10,550.00,533.00,539.00,7152.00
Radhi Bidyut Company Ltd,552.00,580.00,555.00,575.00,51181.00
Rastra Utthan Laghubitta Sanstha Limited,1185.00,1205.90,1165.10,1165.10,2440.00
Rastriya Beema Company Limited,15902.00,16180.00,15901.00,15930.00,327.00
Rastriya Beema Company Limited Promoter Share,14704.00,14997.00,14697.10,14697.10,130.00
RASUWAGADHI HYDROPOWER COMPANY LIMITED,334.00,341.70,329.00,335.00,18134.00
RBB Mutual Fund 1,8.89,8.75,8.58,8.69,1070.00
Reliance Finance Ltd.,353.10,364.10,345.00,345.10,20375.00
Reliance Life Insurance Limited,499.00,505.00,486.00,486.20,8754.00
RMDC Laghubitta Bittiya Sanstha Ltd.,976.00,994.90,962.00,962.00,5395.00
RSDC Laghubitta Bittiya Sanstha Ltd.,629.00,640.00,616.00,616.00,4572.00
Ru Ru Jalbidhyut Pariyojana Limited,925.00,924.00,873.30,912.90,2435.00
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,1270.00,1290.30,1230.00,1237.00,480.00
Sadhana Laghubitta Bittiya Sanstha Limited,1220.00,1219.00,1195.00,1219.00,1315.00
Sagarmatha Insurance Co. Ltd.,1311.00,1333.90,1295.00,1295.00,16276.00
Sahas Urja Limited,562.00,580.00,555.00,556.90,24675.00
Salt Trading Corporation,4200.00,4210.00,4126.20,4126.20,665.00
Samata Gharelu Laghubitta Bittiya Sanstha Limited,988.90,988.00,968.30,968.30,182.00
Samling Power Company Limited,500.00,520.20,490.00,490.00,4249.00
Samriddhi Finance Company Limited,288.00,298.00,287.00,287.20,10711.00
Samudayik Laghubitta Bittiya Sanstha Limited,1310.00,1335.00,1300.00,1300.00,249.00
Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,1158.00,1180.90,1155.00,1155.10,3124.00
Sanima Bank Limited,312.80,318.00,308.00,309.00,46461.00
Sanima Equity Fund,12.87,13.12,12.86,13.08,177875.00
Sanima General Insurance Limited,536.00,545.00,525.70,540.00,1430.00
Sanima Large Cap Fund,8.59,8.60,8.44,8.60,4900.00
Sanima Life Insurance Limited,510.00,516.00,500.10,503.00,7475.00
Sanima Mai Hydropower Ltd.,377.00,384.00,370.00,370.10,13776.00
SANJEN JALAVIDHYUT COMPANY LIMITED,342.00,348.80,333.30,339.00,9925.00
Saptakoshi Development Bank Ltd,294.00,306.90,285.00,285.00,6651.00
Shangri-la Development Bank Debenture 2087,884.50,884.50,884.50,884.50,50.00
Shangrila Development Bank Ltd.,376.00,380.00,366.20,367.00,28182.00
Shikhar Insurance Co. Ltd.,1137.00,1150.00,1132.00,1132.00,3398.00
Shine Resunga Development Bank Ltd.,375.00,380.00,367.00,367.10,28800.00
